"Published on","Unique ID","Target","Indicator","Indicator Type","Disaggregation","Year","Unit","Value","Footnote","Comments"
"28-Feb-2026 18:58","ORT-NR7ID-MN-288690-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","Ecosystem Category (WWF Mongolia)","national","Semi-dry steppe","2020","hectares","17183524.3","Ecosystem classes, WWF Mongolia",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288690-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","Ecosystem Category (WWF Mongolia)","national","High mountain steppe","2020","hectares","4129235.4","Ecosystem classes, WWF Mongolia",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288690-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","Ecosystem Category (WWF Mongolia)","national","Desert steppe","2020","hectares","30293371.2","Ecosystem classes, WWF Mongolia",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288690-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","Ecosystem Category (WWF Mongolia)","national","Freshwater lakes","2020","hectares","1288129.2","Ecosystem classes, WWF Mongolia",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288690-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","Ecosystem Category (WWF Mongolia)","national","Permanent snow/glaciers","2020","hectares","94907.5","Ecosystem classes, WWF Mongolia",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288690-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","Ecosystem Category (WWF Mongolia)","national","Depressions and salt marshes","2020","hectares","3463984.7","Ecosystem classes, WWF Mongolia",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288690-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","Ecosystem Category (WWF Mongolia)","national","Dry steppe","2020","hectares","23222677.4","Ecosystem classes, WWF Mongolia",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288690-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","Ecosystem Category (WWF Mongolia)","national","Ephemeral rivers and dry beds","2020","hectares","586282.7","Ecosystem classes, WWF Mongolia",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288690-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","Ecosystem Category (WWF Mongolia)","national","Extreme arid desert","2020","hectares","5596946.9","Ecosystem classes, WWF Mongolia",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288690-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","Ecosystem Category (WWF Mongolia)","national","Meadow steppe","2020","hectares","16678504.3","Ecosystem classes, WWF Mongolia",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288690-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","Ecosystem Category (WWF Mongolia)","national","Settlement areas","2020","hectares","825418.1","Ecosystem classes, WWF Mongolia",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288690-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","Ecosystem Category (WWF Mongolia)","national","Steppe-desert","2020","hectares","11641030.2","Ecosystem classes, WWF Mongolia",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288690-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","Ecosystem Category (WWF Mongolia)","national","Sub-alpine sparse forest","2020","hectares","2335709.2","Ecosystem classes, WWF Mongolia",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288696-2","","7.2 Pesticide environment concentration and/or aggregated total applied toxicity","","","","","","",""
"28-Feb-2026 18:58","ORT-NR7ID-MN-288695-1","","9.1 Benefits from the sustainable use of wild species","","","","","","",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288680-1","NT12. By 2030,  Integrate biodiversity issues into the policies and planning of all sectors.","D.3 Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems","headline","","2022","million USD","783.21","In analyzing private sector biodiversity-related expenditures, data collection focused on the Top 100 companies identified by the Mongolian National Chamber of Commerce and Industry, as well as major mining companies. The combined revenues of Mongolia’s Top 100 enterprises account for approximately 70 percent of national GDP, indicating a high level of representativeness relative to the population of approximately 87,000 active legal entities as of 2024. Data on biodiversity-related expenditures were collected through a review of corporate social responsibility and sustainability reports, as well as publicly available information disclosed through media sources. Where such information was not available, standardized questionnaires were distributed to enterprises to collect data on biodiversity- and environment-related expenditures.",""
